,ProductName,ProductPrice,ProductDiscount
0,Fluo M Running Shoes For Men,"₹3,999","₹1,599"
1,GlideEase M Running Shoes For Men,"₹2,999","₹1,259"
2,CyberRun M Running Shoes For Men,"₹4,299","₹2,407"
3,Runesy M Running Shoes For Men,"₹4,299","₹1,679"
4,RUNFALCON 3.0 Running Shoes For Men,"₹6,599","₹3,959"
5,GlideEase M Running Shoes For Men,"₹2,999","₹1,259"
6,Flexpace M Walking Shoes For Men,"₹3,999","₹2,399"
7,Fluo M Running Shoes For Men,"₹3,999","₹2,399"
8,CyberRun M Running Shoes For Men,"₹4,299","₹2,407"
9,Runesy M Running Shoes For Men,"₹4,299","₹1,679"
10,Runesy M Running Shoes For Men,"₹4,299","₹1,679"
11,CyberRun M Running Shoes For Men,"₹4,299","₹2,407"
12,GlideEase M Running Shoes For Men,"₹2,999","₹1,259"
13,Jaysaw Reflective Running Shoes For Men,"₹4,299","₹2,579"
14,GlideEase M Running Shoes For Men,"₹2,499","₹1,499"
15,RayRun M Running Shoes For Men,"₹3,999","₹2,399"
16,RUNFALCON 3.0 Running Shoes For Men,"₹6,599","₹3,959"
17,Gambito M Running Shoes For Men,"₹4,799","₹2,879"
18,Jauntza M Running Shoes For Men,"₹3,299","₹1,389"
19,Harquin M Running Shoes For Men,"₹4,299","₹2,239"
20,Stunicon M Running Shoes For Men,"₹4,999","₹2,999"
21,LightRun Edge Force Running Shoes For Men,"₹5,599","₹2,800"
22,RunAlly M Running Shoes For Men,"₹4,999","₹2,799"
23,Runesy M Running Shoes For Men,"₹4,299","₹1,679"
24,rapide run M Running Shoes For Men,"₹5,299","₹2,967"
25,RestroRun M Running Shoes For Men,"₹4,599","₹2,575"
26,RayRun M Running Shoes For Men,"₹3,999","₹2,399"
27,Axelate M Walking Shoes For Men,"₹4,799","₹2,879"
28,rapide run M Running Shoes For Men,"₹5,299","₹2,967"
29,Jauntza M Running Shoes For Men,"₹3,299","₹1,389"
30,Courun avant M Running Shoes For Men,"₹5,299","₹2,544"
31,Nordino Super Running Shoes For Men,"₹5,599","₹3,359"
32,Jauntza M Running Shoes For Men,"₹3,299","₹1,389"
33,Laufen Speed M Running Shoes For Men,"₹4,799","₹2,687"
34,CriNu 23 Cricket Shoes For Men,"₹4,799","₹2,774"
35,GlideEase M Casuals For Men,"₹2,999","₹1,259"
36,AstoundRun M Running Shoes For Men,"₹3,799","₹1,900"
