ProductName,ProductPrice,ProductDiscount,Brand,Gender
SweepIt W Running Shoes For Women,3299,1579,Adidas,Women
Amalgo W Running Shoes For Women,4599,2179,Adidas,Women
GALAXY 6 Running Shoes For Women,5999,2619,Adidas,Women
RUNFALCON 3.0 W Running Shoes For Women,5999,3599,Adidas,Women
RayRun W Running Shoes For Women,3999,1819,Adidas,Women
COURT PLATFORM Skateboard Shoes For Women,6599,2889,Adidas,Women
DURAMO RC W Running Shoes For Women,5599,2479,Adidas,Women
Basenew W Running Shoes For Women,3799,2089,Adidas,Women
VL COURT BASE Sneakers For Women,5999,3479,Adidas,Women
Ford-Strike W Running Shoes For Women,6599,3959,Adidas,Women
Questeron W Running Shoes For Women,4599,2529,Adidas,Women
GameCourt 2 W Tennis Shoes For Women,5999,3599,Adidas,Women
CORERACER Running Shoes For Women,5599,3359,Adidas,Women
Switch FWD W Running Shoes For Women,13999,5819,Adidas,Women
SUPERNOVA 3 W Running Shoes For Women,9999,4599,Adidas,Women
COURT PLATFORM Sneakers For Women,6599,3829,Adidas,Women
SUPERNOVA 2 W Walking Shoes For Women,9999,5999,Adidas,Women
PARK ST Sneakers For Women,6999,3209,Adidas,Women
CLOUDFOAM PURE SPW Running Shoes For Women,7599,3509,Adidas,Women
QT RACER 3.0 Running Shoes For Women,6999,4199,Adidas,Women
PUREMOTION ADAPT 2.0 Running Shoes For Women,6999,4199,Adidas,Women
LITE RACER 3.0 Running Shoes For Women,5599,2679,Adidas,Women
brace walk W Running Shoes For Women,5999,2659,Adidas,Women
ADVANTAGE BASE Sneakers For Women,6599,3629,Adidas,Women
CLOUDFOAM PURE 2.0 Running Shoes For Women,7999,4799,Adidas,Women
Racer Tr23 Running Shoes For Women,7599,4409,Adidas,Women
GALAXY 6 W Running Shoes For Women,5999,3299,Adidas,Women
HEAWYN Running Shoes For Women,9999,4509,Adidas,Women
Run 70s Running Shoes For Women,6999,4059,Adidas,Women
RACER TR23 Running Shoes For Women,7599,4409,Adidas,Women
Ford-Fit W Running Shoes For Women,5999,3299,Adidas,Women
Coreracer Running Shoes For Women,5599,3359,Adidas,Women
Switch Move W Running Shoes For Women,5999,3299,Adidas,Women
GRAND COURT BASE 2.0 Sneakers For Women,6599,3431,Adidas,Women
ADIZERO SL W Running Shoes For Women,11999,5949,Adidas,Women
HOOPS 3.0 MID W Basketball Shoes For Women,6999,3989,Adidas,Women
SheenWalk W Walking Shoes For Women,3599,2519,Adidas,Women
ALPHAEDGE + Running Shoes For Women,6999,3939,Adidas,Women
COURTPOINT Sneakers For Women,5599,3359,Adidas,Women
TERREX EASTRAIL GTX W Hiking & Trekking Shoes For Women,10999,6379,Adidas,Women
BreezeWalk W Walking Shoes For Women,2999,2099,Adidas,Women
FLUIDFLOW 2.0 Running Shoes For Women,8599,4059,Adidas,Women
PUREMOTION ADAPT SPW Running Shoes For Women,7599,4559,Adidas,Women
Alphaboost V1 Running Shoes For Women,11999,7199,Adidas,Women
CONTEMX W Walking Shoes For Women,3599,1579,Adidas,Women
RESPONSE SUPER 2.0 Running Shoes For Women,8999,5399,Adidas,Women
