ProductName,ProductPrice,ProductDiscount,Brand,Gender
Rungryp Sneakers For Men,4999,2350,Puma,Men
Puma Buzz Sneakers For Men,4499,1299,Puma,Men
MERCEDES AMG PETRONAS Drift Cat Ultra Casuals For Men,6999,5599,Puma,Men
Puma Pwrflow Slipon Running Shoes For Men,3999,2399,Puma,Men
Buzz Casuals For Men,4499,1299,Puma,Men
Ferrari R-Cat Machina Motorsport Shoes For Men,7499,3219,Puma,Men
Puma Fierce runner Running Shoes For Men,4499,2559,Puma,Men
Puma Smash V2 L Sneakers For Men,4999,2749,Puma,Men
Softride Enzo Evo Better Rmx Running Shoes For Men,6999,3849,Puma,Men
Trinity Mid Hybrid Sneakers For Men,8999,4949,Puma,Men
VITORIA FG/AG Football Shoes For Men,4999,2749,Puma,Men
Puma Smash V2 Buck Sneakers For Men,4499,2699,Puma,Men
Electrify Nitro 3 FM Running Shoes For Men,10999,6599,Puma,Men
Caven 2.0 SD Casuals For Men,5999,3299,Puma,Men
Puma Aspirit Walking Shoes For Men,5499,2469,Puma,Men
Electrify Nitro 2 Running Shoes For Men,10999,6599,Puma,Men
Shuffle One8 V3 Better Sneakers For Men,6499,3574,Puma,Men
Plush Comfort Walking Shoes For Men,2499,1299,Puma,Men
Manor IDP Casuals For Men,3999,1899,Puma,Men
Puma Wired Rapid Sneakers For Men,5499,3299,Puma,Men
Caven 2.0 Year of Sport Casuals For Men,6999,3849,Puma,Men
Electron E Training & Gym Shoes For Men,4999,2649,Puma,Men
ULTRA PLAY FG AG Football Shoes For Men,4999,3999,Puma,Men
Cliff IDP Sneakers For Men,3499,1924,Puma,Men
Electron E Running Shoes For Men,4999,2649,Puma,Men
Electron 2.0 Casuals For Men,5999,2700,Puma,Men
Axelion Refresh Running Shoes For Men,6999,3709,Puma,Men
Puma Melanite Slip on Sneakers For Men,4499,2474,Puma,Men
Puma Ad-court Badminton Shoes For Men,3799,1786,Puma,Men
Puma Caven 2.0 Mid Sneakers For Men,6999,3849,Puma,Men
Hustle V2 Sneakers For Men,3999,2399,Puma,Men
BMW M Motorsport A3rokart Mid Sneakers For Men,9999,4999,Puma,Men
Smash Vulc V3 LO Sneakers For Men,4499,2474,Puma,Men
Softride Enzo Evo Slip-On Walking Shoes For Men,6499,3574,Puma,Men
BMW MMS Neo Cat 2.0 Casuals For Men,6999,3849,Puma,Men
Anzarun Krick Sneakers For Men,4499,1799,Puma,Men
Smash Vulc V3 LO Casuals For Men,4499,2474,Puma,Men
Doublecourt Sneakers For Men,8999,4949,Puma,Men
Softride Enzo Evo Camo Running Shoes For Men,6999,3849,Puma,Men
Puma Propelix Sneakers For Men,4499,2115,Puma,Men
Puma Exotine 2.0 IDP Running Shoes For Men,3799,4999,Puma,Men
Nomic Sneakers For Men,3799,1786,Puma,Men
Ad-court Badminton Shoes For Men,3999,2279,Puma,Men
Hustle V2 IDP Running Shoes For Men,7999,1199,Puma,Men
Voltaic Evo Running Shoes For Men,3999,4399,Puma,Men
Zod Runner V3 IDP Casuals For Men,5499,2399,Puma,Men
FlexFocus Lite Running Shoes For Men,3999,3024,Puma,Men
Puma Bazin IDP Running Shoes For Men,5499,2199,Puma,Men
Caven 2.0 Sneakers For Men,11999,2820,Puma,Men
Pacer Slip on V3 Casuals For Men,4999,2199,Puma,Men
