,ProductName,ProductPrice,ProductDiscount
0,Bridge Comfort Running Shoes For Men,"₹2,499","₹1,299"
1,Coarse Sneakers For Men,"₹4,999","₹2,399"
2,Rungryp Sneakers For Men,"₹4,999","₹2,350"
3,Puma Buzz Sneakers For Men,"₹4,499","₹1,299"
4,Bridge Comfort Running Shoes For Men,"₹2,499","₹1,299"
5,MERCEDES AMG PETRONAS Drift Cat Ultra Casuals For Men,"₹6,999","₹5,599"
6,X-Ray Speed Casuals For Men,"₹6,999","₹3,849"
7,Puma Buzz Casuals For Men,"₹4,499","₹1,299"
8,Smashic Sneakers For Men,"₹4,499","₹2,241"
9,Rebound Future NextGen Sneakers For Men,"₹7,999","₹4,399"
10,Plush Comfort Running Shoes For Men,"₹2,499","₹1,299"
11,Cricket Power Cricket Shoes For Men,"₹4,999","₹2,999"
12,Plush Comfort Running Shoes For Men,"₹2,499","₹1,299"
13,Puma Pwrflow Slipon Running Shoes For Men,"₹3,999","₹2,399"
14,Buzz Sneakers For Men,"₹4,499","₹1,299"
15,Buzz Casuals For Men,"₹4,499","₹1,299"
16,Enzo Stridance IDP Running Shoes For Men,"₹5,499","₹2,859"
17,PUMA Smash 3.0 Sneakers For Men,"₹5,499","₹2,859"
18,Ferrari R-Cat Machina Motorsport Shoes For Men,"₹7,499","₹3,219"
19,Puma Fierce runner Running Shoes For Men,"₹4,499","₹2,559"
20,Puma Smash V2 L Sneakers For Men,"₹4,999","₹2,749"
21,Daze V2 Sneakers For Men,"₹3,999","₹1,960"
22,Softride Enzo Evo Better Rmx Running Shoes For Men,"₹6,999","₹3,849"
23,Trinity Mid Hybrid Sneakers For Men,"₹8,999","₹4,949"
24,Bridge Comfort Running Shoes For Men,"₹2,499","₹1,299"
25,VITORIA FG/AG Football Shoes For Men,"₹4,999","₹2,749"
26,Puma Smash V2 Buck Sneakers For Men,"₹4,499","₹2,699"
27,Electrify Nitro 3 FM Running Shoes For Men,"₹10,999","₹6,599"
28,Hustle V2 Running Shoes For Men,"₹3,999","₹1,199"
29,Caven 2.0 SD Casuals For Men,"₹5,999","₹3,299"
30,Puma Aspirit Walking Shoes For Men,"₹5,499","₹2,469"
31,Electrify Nitro 2 Running Shoes For Men,"₹10,999","₹6,599"
32,Shuffle One8 V3 Better Sneakers For Men,"₹6,499","₹3,574"
33,Puma Buzz Casuals For Men,"₹4,499","₹1,299"
34,Plush Comfort Running Shoes For Men,"₹2,499","₹1,299"
35,UP Sneakers For Men,"₹3,999","₹2,199"
36,Flyer Runner Engineered Knit V1 Sneakers For Men,"₹5,499","₹2,199"
37,Plush Comfort Walking Shoes For Men,"₹2,499","₹1,299"
38,Manor IDP Casuals For Men,"₹3,999","₹1,899"
39,Skyrocket Lite Alt Running Shoes For Men,"₹4,999","₹2,749"
40,Club II Era YoS Casuals For Men,"₹5,499","₹3,024"
41,Caven 2.0 Seeing Double Casuals For Men,"₹5,999","₹3,299"
42,Club II Era YoS Casuals For Men,"₹5,499","₹3,024"
43,Caven 2.0 Abrupt Casuals For Men,"₹6,499","₹3,574"
44,Buzz Sneakers For Men,"₹4,499","₹1,299"
45,Supreme Comfort Training & Gym Shoes For Men,"₹2,699","₹1,484"
46,Puma Wired Rapid Sneakers For Men,"₹5,499","₹3,299"
47,FTR Xtraflow IDP Running Shoes For Men,"₹5,499","₹3,024"
48,Caven 2.0 Year of Sport Casuals For Men,"₹6,999","₹3,849"
49,Electron E Training & Gym Shoes For Men,"₹4,999","₹2,649"
50,ULTRA PLAY FG AG Football Shoes For Men,"₹4,999","₹3,999"
51,X-Ray 2 Square Casuals For Men,"₹7,999","₹4,399"
52,Cliff IDP Sneakers For Men,"₹3,499","₹1,924"
53,Electron E Running Shoes For Men,"₹4,999","₹2,649"
54,Electron 2.0 Casuals For Men,"₹5,999","₹2,700"
55,Rebound Future NextGen Sneakers For Men,"₹7,999","₹3,760"
56,PUMA R78 SL Sneakers For Men,"₹4,999","₹2,749"
57,Axelion Refresh Running Shoes For Men,"₹6,999","₹3,709"
58,Cricket Power Cricket Shoes For Men,"₹4,999","₹2,749"
59,Puma Melanite Slip on Sneakers For Men,"₹4,499","₹2,474"
60,Puma Ad-court Badminton Shoes For Men,"₹3,799","₹1,786"
61,UP Sneakers For Men,"₹3,999","₹1,880"
62,FlexFocus Lite Running Shoes For Men,"₹5,499","₹3,024"
63,Skyrocket Lite Alt Running Shoes For Men,"₹4,999","₹2,749"
64,PUMA R78 SL Sneakers For Men,"₹4,999","₹2,999"
65,Skyrocket Lite Alt Running Shoes For Men,"₹4,999","₹2,749"
66,Puma Caven 2.0 Mid Sneakers For Men,"₹6,999","₹3,849"
67,Hustle V2 Sneakers For Men,"₹3,999","₹2,399"
68,Plush Comfort Running Shoes For Men,"₹2,499","₹1,299"
69,BMW M Motorsport A3rokart Mid Sneakers For Men,"₹9,999","₹4,999"
70,Smash Vulc V3 LO Sneakers For Men,"₹4,499","₹2,474"
71,Cell Glare Running Shoes For Men,"₹5,999","₹3,599"
72,Zod Runner V3 IDP Casuals For Men,"₹3,999","₹1,199"
73,Cricket Power Cricket Shoes For Men,"₹4,999","₹2,999"
74,Plush Comfort Running Shoes For Men,"₹2,499","₹1,299"
75,Softride Enzo Evo Slip-On Walking Shoes For Men,"₹6,499","₹3,574"
76,Caven 2.0 Casuals For Men,"₹5,999","₹3,299"
77,BMW MMS Neo Cat 2.0 Casuals For Men,"₹6,999","₹3,849"
78,Bridge Comfort Running Shoes For Men,"₹2,499","₹1,299"
79,Coarse Sneakers For Men,"₹4,999","₹2,399"
80,X-Ray Speed Casuals For Men,"₹6,999","₹3,849"
81,Bazin Running Shoes For Men,"₹3,999","₹1,999"
82,Anzarun Krick Sneakers For Men,"₹4,499","₹1,799"
83,Caven 2.0 Casuals For Men,"₹5,999","₹3,299"
84,Enzo Stridance IDP Running Shoes For Men,"₹5,499","₹2,859"
85,Smash Vulc V3 LO Casuals For Men,"₹4,499","₹2,474"
86,Puma Onehill Sneakers For Men,"₹4,299","₹2,088"
87,Puma level IDP Sneakers For Men,"₹4,299","₹2,004"
88,Puma Buzz Casuals For Men,"₹4,499","₹1,299"
89,Caven 2.0 Casuals For Men,"₹5,999","₹3,299"
90,Disperse XT 3 Knit Training & Gym Shoes For Men,"₹5,999","₹3,599"
91,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,960"
92,Club II Era YoS Casuals For Men,"₹5,499","₹3,024"
93,Skyrocket Lite Alt Running Shoes For Men,"₹4,999","₹2,749"
94,UP Casuals For Men,"₹3,999","₹2,199"
95,Doublecourt Sneakers For Men,"₹8,999","₹4,949"
96,Explore Nitro Running Shoes For Men,"₹10,999","₹7,149"
97,PUMA R78 SL Sneakers For Men,"₹4,999","₹2,999"
98,Softride Enzo Evo Camo Running Shoes For Men,"₹6,999","₹3,849"
99,Puma Propelix Sneakers For Men,"₹4,499","₹2,115"
100,Lite Pro v2 Casuals For Men,"₹3,999","₹1,799"
101,Puma Exotine 2.0 IDP Running Shoes For Men,"₹3,799","₹4,999"
102,Nomic Sneakers For Men,"₹3,799","₹1,786"
103,Ad-court Badminton Shoes For Men,"₹3,999","₹2,279"
104,Hustle V2 IDP Running Shoes For Men,"₹7,999","₹1,199"
105,Voltaic Evo Running Shoes For Men,"₹3,999","₹4,399"
106,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,947"
107,Zod Runner V3 IDP Casuals For Men,"₹5,499","₹2,399"
108,FlexFocus Lite Running Shoes For Men,"₹3,999","₹3,024"
109,Puma Bazin IDP Running Shoes For Men,"₹5,499","₹2,199"
