,ProductName,ProductPrice,ProductDiscount
0,Carina Slim Perf Sneakers For Women,"₹4,499","₹2,379"
1,Cross Wn's Walking Shoes For Women,"₹3,999","₹2,119"
2,Cross Wn's Running Shoes For Women,"₹3,999","₹1,919"
3,Agile Trip Wn's Walking Shoes For Women,"₹3,499","₹1,679"
4,Kardio on Women Sneakers For Women,"₹4,499","₹2,379"
5,Comfort Wns Slipon V2 Walking Shoes For Women,"₹4,499","₹2,019"
6,NovaFlex Sneakers For Women,"₹4,499","₹2,109"
7,X-Ray Slimmic Womens Sneakers For Women,"₹4,999","₹2,599"
8,Racer V1 Sneakers For Women,"₹3,499","₹1,829"
9,Adelina Bellies For Women,"₹3,999","₹1,919"
10,Liberate NITRO 2 Womens Running Shoes For Women,"₹10,999","₹6,599"
11,Cross Wn's Casuals For Women,"₹3,999","₹1,919"
12,Crafty Wns Sneakers For Women,"₹3,999","₹1,919"
13,Solarflash II Badminton Shoes For Women,"₹5,999","₹2,939"
14,Harrow Wns IDP Casuals For Women,"₹3,999","₹1,599"
15,Kardio on Women Sneakers For Women,"₹4,499","₹2,249"
16,Pacific Maze Wn s IDP Casuals For Women,"₹3,999","₹1,799"
17,Carina 2.0 Sneakers For Women,"₹4,999","₹2,749"
18,"Walking ,Gym, and Sport Running Shoes For Women","₹4,499","₹2,589"
19,X-Ray Slimmic Womens Sneakers For Women,"₹4,999","₹2,599"
20,Pacific Maze Wn s IDP Casuals For Women,"₹3,999","₹1,499"
21,Kardio on Women Sneakers For Women,"₹4,499","₹2,379"
22,Adelina Sneakers For Women,"₹3,999","₹2,799"
23,Alfarun Hyperwave Women Sneakers For Women,"₹3,999","₹2,399"
24,Puma Cavase Wns Casuals For Women,"₹3,999","₹2,319"
25,Cassey Revamp Wns Walking Shoes For Women,"₹3,999","₹2,119"
26,Puma Smash V2 Buck Sneakers For Women,"₹4,499","₹1,719"
27,Puma Lightstorm Wns Casuals For Women,"₹4,499","₹2,249"
28,Powermax Wns Casuals For Women,"₹3,999","₹2,319"
29,Puma Vega Sweet v2 IDP Casuals For Women,"₹3,999","₹2,319"
30,Puma Robbin Sneakers For Women,"₹4,499","₹1,889"
31,All-Day Active Sneakers For Women,"₹5,499","₹2,309"
32,Pacific Maze Wn s IDP Casuals For Women,"₹3,999","₹1,999"
33,Mayra Sneakers For Women,"₹7,999","₹3,999"
34,Ivana Wn s IDP Casuals For Women,"₹3,999","₹1,699"
35,Runwise Women Sneakers For Women,"₹3,999","₹2,319"
36,Adelina Knit Sneakers For Women,"₹4,499","₹2,159"
37,Softride Carson Fresh Running Shoes For Women,"₹6,499","₹3,059"
38,FlexFocus Lite Running Shoes For Women,"₹5,499","₹3,019"
39,Agile Trip Wn's Sneakers For Women,"₹3,499","₹2,099"
40,Adelina Bellies For Women,"₹3,999","₹1,919"
41,Flyer Runner Engineered Knit Sneakers For Women,"₹5,499","₹2,199"
42,Puma Reflex Wns Casuals For Women,"₹3,999","₹1,519"
43,Puma Smasher Wns Sneakers For Women,"₹4,499","₹1,929"
44,Adelina Knit Sneakers For Women,"₹4,499","₹3,149"
45,Puma Truffle Wns IDP Casuals For Women,"₹4,499","₹1,579"
46,Electrify Nitro 3 Running Shoes For Women,"₹8,999","₹5,399"
47,Electrify NITRO 3 Knit Wn Running Shoes For Women,"₹9,999","₹5,999"
48,Softride Carson Running Shoes For Women,"₹5,999","₹2,819"
49,Puma Robbin Sneakers For Women,"₹4,499","₹1,899"
50,Liberate Nitro 2 Running Shoes For Women,"₹10,999","₹6,599"
51,Softride Clean V2 Wns Walking Shoes For Women,"₹4,999","₹2,069"
52,FlexFocus Better Knit Wn Running Shoes For Women,"₹5,999","₹2,819"
