,ProductName,ProductPrice,ProductDiscount
0,TERRENEX Sneakers For Men,"₹5,499","₹3,574"
1,Modern Cool-Keene Walking Shoes For Men,"₹4,299","₹3,499"
2,SUMMITS - BRISBANE Sneakers For Men,"₹4,999","₹3,224"
3,Equalizer 3.0 Sneakers For Men,"₹3,999","₹2,999"
4,MODERN COOL Sneakers For Men,"₹5,499","₹2,799"
5,GO RUN CONSISTENT Running Shoes For Men,"₹5,999","₹3,574"
6,BOUNDER-MIRKLE Running Shoes For Men,"₹6,999","₹3,299"
7,GO WALK FLEX Walking Shoes For Men,"₹6,999","₹3,149"
8,GO WALK 5- JETTER Walking Shoes For Men,"₹4,299","₹3,849"
9,Terrenex Running Shoes For Men,"₹4,999","₹3,799"
10,SUMMITS - BRISBANE Sneakers For Men,"₹5,999","₹3,009"
11,GO RUN 400 Running Shoes For Men,"₹5,499","₹3,499"
12,EQUALIZER 4.0 - WRAITHERN Running Shoes For Men,"₹6,499","₹2,699"
13,Modern Cool-Keene Walking Shoes For Men,"₹4,499","₹3,499"
14,EQUALIZER 3.0 Walking Shoes For Men,"₹5,999","₹4,999"
15,ULTRA FLEX 2.0-CONSTANT ZEAL Casuals For Men,"₹4,999","₹3,145"
16,SUMMITS Sneakers For Men,"₹4,799","₹3,149"
17,Modern Cool-Garvin Walking Shoes For Men,"₹5,999","₹2,999"
18,Elite Flex Running Shoes For Men,"₹3,999","₹3,299"
19,TRACK - KNOCKHILL Sneakers For Men,"₹5,499","₹2,425"
20,DYNAMIGHT Sneakers For Men,"₹3,999","₹3,359"
21,Modern Cool-Okara Sneakers For Men,"₹5,499","₹3,299"
22,BOUNDER-MIRKLE Running Shoes For Men,"₹5,999","₹3,299"
23,MODERN COOL Sneakers For Men,"₹5,499","₹2,799"
24,GO RUN CONSISTENT Running Shoes For Men,"₹3,999","₹4,124"
25,MODERN COOL Sneakers For Men,"₹8,999","₹2,799"
26,TERRENEX Sneakers For Men,"₹4,299","₹3,574"
27,Modern Cool-Keene Walking Shoes For Men,"₹7,999","₹3,499"
28,ELITE FLEX Walking Shoe For Men,"₹5,499","₹2,699"
29,SUMMITS - TORRE Sneakers For Men,"₹4,499","₹3,024"
30,Dynamight Sneakers For Men,"₹5,499","₹3,599"
31,MODERN COOL Sneakers For Men,"₹4,999","₹2,799"
32,GO WALK HYPER BURST Walking Shoes For Men,NA,"₹4,316"
33,SUMMITS - BRISBANE Running Shoes For Men,NA,"₹3,224"
34,Skech-Air Element 2. Running Shoes For Men,NA,"₹4,068"
35,GO RUN CONSISTENT Running Shoes For Men,NA,"₹3,574"
36,DYNAMIGHT - PINCAY Sneakers For Men,NA,"₹2,699"
37,GO RUN CONSISTENT Running Shoes For Men,NA,"₹4,124"
38,EQUALIZER 4.0 - VOLT Walking Shoes For Men,NA,"₹2,599"
39,Modern Cool-Keene Walking Shoes For Men,NA,"₹3,499"
40,SUMMITS - BRISBANE Running Shoes For Men,"₹4,299","₹3,224"
41,GO RUN 400 Running Shoes For Men,"₹4,499","₹2,924"
42,GLIDE-STEP SPORT-NEW APPEAL Sneakers For Men,"₹7,499","₹3,369"
43,TERRENEX Sneakers For Men,"₹5,499","₹3,574"
44,GO RUN 400 Running Shoes For Men,"₹4,999","₹3,499"
45,FLEX ADVANTAGE 4.0 - PROVIDEN Walking Shoes For Men,"₹5,499","₹2,859"
46,Modern Cool-Garvin Walking Shoes For Men,"₹4,499","₹2,999"
47,DYNAMIGHT - PINCAY Sneakers For Men,"₹6,499","₹2,699"
48,ULTRA FLEX 2.0-CONSTANT ZEAL Casuals For Men,"₹4,499","₹3,335"
49,SUMMITS Sneakers For Men,"₹4,499","₹3,374"
50,GO RUN 400 Sneakers For Men,"₹5,999","₹4,499"
51,GO RUN 400 Running Shoes For Men,"₹5,999","₹2,924"
52,EQUALIZER 4.0 - WRAITHERN Running Shoes For Men,"₹6,999","₹3,299"
53,HILLCREST - VAST ADV Sneakers For Men,"₹4,499","₹3,299"
54,Modern Cool-Garvin Walking Shoes For Men,"₹4,799","₹2,999"
55,GO WALK FLEX Walking Shoes For Men,"₹6,999","₹3,849"
56,SUMMITS Sneakers For Men,"₹6,999","₹3,149"
57,DYNAMIGHT Sneakers For Men,"₹3,999","₹3,359"
58,GO WALK FLEX Walking Shoes For Men,"₹4,999","₹3,344"
