ProductName,ProductPrice,ProductDiscount,Brand,Gender
ARCH FIT-MODERN RHYTHM Walking Shoes For Women,7499,4499,Skechers,Women
GO WALK JOY-PARADISE Running Shoes For Women,5499,3299,Skechers,Women
GO WALK JOY -WONDERFUL SPRING Walking Shoes For Women,5999,2579,Skechers,Women
ARCH FIT UPLIFT - DEFINED Walking Shoes For Women,5999,2429,Skechers,Women
FLEX APPEAL 4.0-BRILLIANT VIE Walking Shoes For Women,5499,3299,Skechers,Women
VIRTUE - BE GREAT Sneakers For Women,5999,3098,Skechers,Women
ULTRA FLEX 3.0-GLOWING SKY Casuals For Women,6999,3976,Skechers,Women
Bobs Unity - Sleek Prism Sneakers For Women,6999,3253,Skechers,Women
D'Lux Comfort - Glow Time Slip On Sneakers For Women,6799,3161,Skechers,Women
GO RUN PULSE - OPERATE Sneakers For Women,5999,4648,Skechers,Women
RECORD - NEWBERRY Sneakers For Women,6499,3119,Skechers,Women
ROADIES SURGE - FEST Casuals For Women,7999,4669,Skechers,Women
GO WALK JOY - VIVACIOUS Running Shoes For Women,5499,2739,Skechers,Women
BOBS SQUAD WAVES - O Running Shoes For Women,6499,3899,Skechers,Women
MAX CUSHIONING ELITE Running Shoes For Women,8999,5399,Skechers,Women
Bobs Unity - Sleek Prism Casuals For Women,6999,3253,Skechers,Women
D'LUX FITNESS-ROAM F Running Shoes For Women,7499,4499,Skechers,Women
GLIDE-STEP SWIFT-FRE Running Shoes For Women,8999,5099,Skechers,Women
GO WALK SMART-SILVER Sneakers For Women,6999,3976,Skechers,Women
Skech-Air Element 2.0-Vivid Blush Sneakers For Women,7999,4545,Skechers,Women
GO WALK JOY -WONDERFUL SPRING Running Shoes For Women,5999,3399,Skechers,Women
GLIDE-STEP SPORT-LIV Running Shoes For Women,6999,4199,Skechers,Women
SKECH-AIR EXTREME 2. Sneakers For Women,7499,3486,Skechers,Women
GO WALK 5 - TRENDY Walking Shoes For Women,6999,4199,Skechers,Women
ARCH FIT-VIBRANT STEP Sneakers For Women,7999,4279,Skechers,Women
GLIDE-STEP SPORT-HIG Walking Shoes For Women,8499,4699,Skechers,Women
Bobs Squad Chaos - 2 Running Shoes For Women,6499,2799,Skechers,Women
Go Walk Stretch Fit Running Shoes For Women,7499,4499,Skechers,Women
ULTRA FLEX 3.0-GLOWING SKY Walking Shoes For Women,6999,3976,Skechers,Women
124856-LTPK Slip On Sneakers For Women,6499,4364,Skechers,Women
ARCH FIT REFINE - CLASSY DOLL Running Shoes For Women,7499,4499,Skechers,Women
GO RUN FAST - Walking Shoes For Women,5499,3209,Skechers,Women
GO WALK CLASSIC - HIGH WINDS Running Shoes For Women,5999,3369,Skechers,Women
GLIDE-STEP FLEX AIR Sneakers For Women,9999,5681,Skechers,Women
D'LUX FITNESS-BRIGHT Running Shoes For Women,7999,4049,Skechers,Women
Uno Trail - Brighter Hiker Sneakers For Women,8999,4979,Skechers,Women
DYNAMIGHT 2.0-ZEN SP Walking Shoes For Women,6499,3299,Skechers,Women
ARCH FIT CHIC - OBSE Walking Shoes For Women,7499,3739,Skechers,Women
ULTRA FLEX-FRESH STE Running Shoes For Women,6499,3899,Skechers,Women
Skech-Air Extreme 2.0 - High Momentum Sneakers For Wome...,7999,4545,Skechers,Women
D'Lux Fitness-Pure Glam Casuals For Women,7499,5810,Skechers,Women
D'Lux Walker-Infinite Motion Casuals For Women,6999,3499,Skechers,Women
Sierra - Windy Way Sneakers For Women,7999,4799,Skechers,Women
On-The-Go Flex - Cut Walking Shoes For Women,5999,3599,Skechers,Women
GO RUN FAST - Sneakers For Women,5999,3599,Skechers,Women
SKECH-AIR DYNAMIGHT Sneakers For Women,5999,3599,Skechers,Women
ARCH FIT-POWER STEP Walking Shoes For Women,8499,5039,Skechers,Women
GO WALK FLEX - VASAN Sneakers For Women,5999,4648,Skechers,Women
SKECH-AIR ELEMENT 2.0-VIVID B Walking Shoes For Women,7999,5599,Skechers,Women
BE-COOL - MOOD BOOST Walking Shoes For Women,6499,3899,Skechers,Women
ARCH FIT UPLIFT - ROMANTIC Sneakers For Women,6499,3899,Skechers,Women
ARCH FIT D'LUX Walking Shoes For Women,7999,4545,Skechers,Women
GO RUN ELEVATE Running Shoes For Women,6999,3969,Skechers,Women
Skech-Air Dynamight Walking Shoes For Women,5999,3519,Skechers,Women
D'Lux Walker-Rainbow Sneakers For Women,7499,4109,Skechers,Women
Ultra Groove - Pure Vision Running Shoes For Women,5999,3599,Skechers,Women
ULTRA FLEX - HARMONI Walking Shoes For Women,5999,3419,Skechers,Women
Bobs B Flex - Eureka Running Shoes For Women,6999,3799,Skechers,Women
124856-BKW Slip On Sneakers For Women,6499,4364,Skechers,Women
BEACH BINGO - DAPPER PARTY Canvas Shoes For Women,3299,1979,Skechers,Women
D'Lites - Fresh Air Walking Shoes For Women,7999,4545,Skechers,Women
Skech-Air Dynamight Running Shoes For Women,6499,3899,Skechers,Women
GO WALK FLEX - CLEVE Walking Shoes For Women,5999,4028,Skechers,Women
GO WALK CLASSIC - HI Walking Shoes For Women,5999,3469,Skechers,Women
New Moon - Callisto Sneakers For Women,3999,2892,Skechers,Women
ARCH FIT-MODERN RHYT Casuals For Women,7499,4499,Skechers,Women
GO WALK JOY - VIVACI Running Shoes For Women,5499,2969,Skechers,Women
MODERN JOGGER - BETTY Walking Shoes For Women,6499,3259,Skechers,Women
